식별자,뉴스제목,뉴스본문,Label
2_00001,세월호 유가족 위해 '물놀이' 프로그램 기획한 센터 논란,"세월호 유가족이 받은 치유센터 문자가 논란이 됐다.

지난달 31일 세월호 유가족 '예은아빠' 유경근 씨는 인스타그램에 안산 온마음센터 전체 문자를 공개했다. 온마음센터는 세월호 유가족에게 ""무더운 여름, 가족과 함께 북한강변 시원한 자연 바람을 맞으며 물놀이를 즐길 수 있는 수상 레저 프로그램을 준비했다""라고 설명했다. 유경근 씨는 ""세월호 유가족이 수상 레저를? 진심입니까?""라는 답장을 보냈다. 

유 씨는 인스타그램에 ""수상 레저? 지금도 물만 쳐다보면 물속에 잠긴 예은이가 보여서 뛰어들고 싶은데 수상 레저를?""이라고 썼다. 유 씨는 ""강물이니까 괜찮다는 건가? 맞서서 이겨내 보라는 건가? 아니면 물 먹고 정신 차리라는 깊은 뜻?""이라며 분노를 표했다. 

안산온마음센터는 2014년 4월 16일 세월호 참사 때 만들어진 재난 심리지원팀을 주축으로 설립된 유가족 트라우마 치료 지원 공간이다. 피해자 유가족, 친구, 단원고 생존 학생 등을 위한 치유 프로그램을 기획해왔다. 

이날 유 씨 게시물은 여러 온라인 커뮤니티에 퍼졌다. 유 씨 인스타그램 밑으로 온마음센터를 비판하는 댓글이 다수 달렸다.

1일 온마음센터 관계자는 위키트리에 ""전체 문자를 보내는 과정에서 문장과 단어 선택이 부주의했다고 생각한다""라며 ""이런 행사를 전달하는 과정에서 (트라우마를 불러오거나) 불편할 수 있는 부분을 배려했어야 한다""라고 말했다. 

관계자는 ""다만 수상 레저 프로그램은 올해만 열린 게 아니다, 작년, 재작년에도 열렸고 (유가족과) 캐리비안 베이에 간 적도 있다""라고 설명했다. 관계자는 ""작년에 (수상 레저 프로그램) 만족도가 높아 올해도 기획하게 됐다""라고 밝혔다.

관계자는 ""세월호 유가족이 800여 명인데 가족마다 욕구와 의견이 다르다""라고 말했다. ""외부에 의견을 공개하는 가족과 그렇지 않은 가족, 물놀이 자체에 트라우마를 가진 가족과 이런 (레저) 활동을 원하는 가족 등 다양하다""라고 강조했다. 관계자는 ""(올해는) 물놀이 안 가냐고 먼저 묻는 가족도 있다""라고 덧붙였다. 

경찰은 지난 5일 서울 광화문 광장에서 열린 박근혜 대통령 하야 촉구 2차 집회 때는 평상복인 근무복을 착용했다.11일 서울지방경찰청 관계자는 ""(12일) 집회에 기동복을 입고 출동할 예정""이라고 말했다.기동복은 전투복 형태 상하의에 목이 긴 전투화로 구성돼 있다.
여기 상황에 따라 곤봉과 방패, 전투모 등이 제공된다.

관계자는 ""유가족에게 상처가 되지 않도록 더욱 다양한 의견을 고려하며 주의를 기울이겠다""라고 말했다.",1
2_00002,"""너무 미안해, 사랑해..."" 아프리카에서 숨진 PD에게 부인이 보낸 편지","남아프리카공화국에서 다큐멘터리 촬영을 하다 교통사고로 사망한 고 김광일 EBS PD에게 부인이 미처 부치지 못 한 편지가 공개됐다.

김영미 분쟁지역 전문 PD는 지난 27일 페이스북에 사진 두 장을 게재했다. 사진에는 김광일 피디가 밝게 웃고 있는 모습과 김 PD 부인이 보낸 편지가 담겼다.

편지에는 ""'김광일' 사랑해, 남아공에서 힘들게 일하고 제대로 못 먹고 고생 많았어. 내가 해줄 수 있는 게 없어서 너무 미안해... 미안해... 사랑해""라고 적혀 있다. 김 PD 부인은 ""한국으로 돌아가자""라며 ""당신의 사랑하는 아내""라고 덧붙였다.

김영미 PD는 편지에 대해 ""고 김광일 피디 아내가 화장하며 남긴 남편에게 보내는 편지""라고 설명했다. 김영미 PD는 ""사랑하는 남편을 보내는 것이 얼마나 힘든지...""라며 안타까움을 드러냈다.

앞서 지난 22일 김광일 PD 페이스북 계정에는 김광일 PD와 부인이 마지막으로 나눈 문자메시지 내용이 올라왔다. 

카메라가 부착된 특수 안경을 쓰고 지하철에서 여성을 따라다니며 신체를 촬영하던 20대 남성이 경찰에 붙잡혔다.서울 혜화경찰서는 성폭력범죄의 처벌에 관한 특별법 위반(카메라 등 이용 촬영) 혐의로 20대 남성 A씨를 현행범으로 체포해 조사 중이라고 31일 밝혔다.

김광일 PD는 ""벌써 일주일 지났네. 이주일 남았는데 아직 멀었구나. 이사는 일주일 남았네. 자기도 정신없겠네. 너무 보고싶다""라고 문자메시지를 보냈다. 김 PD 부인은 ""졸리다. 언제 연락 올지 몰라 핸드폰 보고 있었는데 너무 졸려 ㅠㅠ 문자 줘. 사랑해""라고 답장을 보냈지만 김광일 PD는 메시지를 확인하지 못 했다.

김광일 PD와 박환성 PD는 EBS 다큐프로그램 '다큐프라임 -야수와 방주(가제)'편을 제작하기 위해 남아프리카로 떠났다가 14일 오후 8시 45분(현지 시각) 교통사고를 당했다. 두 PD 유골함은 27일 오후 8시 10분쯤 인천공항 C 게이트로 들어왔다.",1
2_00003,폐교 수순 서남대' 재조명된 캠퍼스 투어 글,"재정 위기로 폐교 수순을 밟을 것으로 보이는 전북 서남대 '캠퍼스 투어' 글이 재조명되고 있다.

지난 1일 교육부는 서울시립대와 삼육대가 상반기 제출한 서남대 정상화 계획안을 모두 반려했다. 2일 교육부는 관련 내용을 공식 발표할 계획이다.

서남대 폐교 관련 소식이 전해지면서 온라인 커뮤니티 디시인사이드 수능 갤러리에 올라온 것으로 알려진 '서남대 캠퍼스' 투어 글이 SNS에 퍼졌다.

이 글 제목은 ""전국 최하위 대학으로 악명 높은 서남대학교 캠퍼스 투어를 가다""이다. 글이 언제 작성됐는지는 알려지지 않았다. 수능 갤러리에서도 삭제된 상태다.

목사 아버지가 딸의 부활을 믿고 집에 시신을 집에 방치했다는 보도가 나왔다. 중앙일보는 3일 목사 이모(47) 씨와 계모 백모(40) 씨 진술 내용을 전했다.

글 게시자는 ""서남 대학교는 남원에서도 멀리 떨어진 산속에 캠퍼스가 있었다""고 설명한 후 남원역에서 서남대학교를 가는 방법을 사진과 함께 올렸다.

이어 서남대 캠퍼스에 도착한 글 게시자는 공과대학, 인문대학 등 학교 구석구석을 촬영한 사진을 공개했다.

글 게시자는 ""이때가 더운 날씨였는데 (건물) 안에 들어가니 조금 춥다는 느낌을 받았다. 냉난방 시설이 전혀 되어있지 않고 시설은 상당히 낙후되어 있었다""며 ""(화장실에서는) 들어가자마자 심한 악취가 났고 소변기, 대변기 반 이상이 고장이라고 써 붙어 있었다. 시설 보수가 거의 이루어지지 않는 듯했다""고 설명했다.

그는 의과 대학 건물만이 비교적 관리가 잘 되고 있었다고 했다.

이 글에는 서남대 곳곳을 촬영한 사진과 글 게시자가 주관적으로 느낀 캠퍼스 투어 평이 적혀있다. 

서남대는 지난 2012년 이홍하 당시 이사장이 교비 1000억 원을 횡령한 혐의로 기소된 이후 대학 구조개혁 평가에서 최하위 등급을 받았다. 재정상황이 악화된 서남대는 신입생 충원율이 50% 이하로 떨어졌다. 수년간 이어진 정상화 시도가 모두 실패하면서 폐교 수순을 밟게 된 것으로 알려졌다. 

서남대가 폐교 절차를 밟는다는 소식이 전해지자 지난 1일 전북지역 일부 자치단체들은 ""교육부가 구조조정 실적을 쌓으려고 회생 가능한 지방대를 무리하게 죽이려 하고 있다""고 반발했다.",1
2_00004,"빠른 회복' 김병만, 비행기 타고 오늘(2일) 전격 귀국한다","미국에서 스카이다이빙 도중 척추 뼈 부상을 당한 김병만 씨가 오늘(2일) 전격 귀국한다.

김병만 씨는 2일 오후 한국에 도착해 병원에서 재활 치료를 받을 계획이다. 김 씨는 당분간 회복 기간을 가진 뒤 활동 재개 여부를 결정할 예정인 것으로 알려졌다. 

김병만 씨는 귀국하기 앞서 지난 1일 인스타그램으로 안부를 전하기도 했다. 김 씨는 ""여러분 걱정해 주시고 응원해 주셔서 진심으로 감사하다. 열심히 재활운동해서 건강한 모습으로 돌아가겠다""고 말했다.

김병만 씨 측근 인사는 2일 이데일리 보도에서 ""김병만이 컨디션을 완전히 회복하는 것이 우선인 만큼 결정된 것은 아무것도 없다""며 ""본인의 복귀 의지가 강하지만 고려해야 할 사안이 많다""고 밝혔다.

김병만 씨는 지난달 20일(현지시각) 스카이다이빙 대회 준비를 위해 미국에서 낙하 훈련을 실시했다. 그러던 중 급변하는 바람 방향 때문에 랜딩하면서 부상을 당했다.

검사 결과 김병만 씨는 척추 뼈 골절을 입었다. 다행히 신경 손상은 없는 것으로 나타났다.

영국 '토트넘 홋스퍼 FC'에서 뛰는 손흥민(25) 선수가 새해 첫 골을 터뜨렸다. 시즌 8호 골이다.손 선수는 8일(현지시각) 영국 런던 화이트 하트 레인에서 열린 애스턴 빌라와의 '2016~2017 영국 FA컵 3라운드(64강)'에 선발 출전했다.손 선수는 이 경기에서 후반 35분 추가 골을 터뜨렸다.

이데일리는 지난달 31일 ""미국 현지 의료진도 혀를 내두를 만큼 (김병만 씨가) 빠르게 건강을 되찾고 있다""고 보도하기도 했다.

김병만 씨는 척추 뼈 골절로 티타늄 재질 뼈를 이식한 상황에서도 ""저를 아이언맨이라 불러주셔도 좋다""는 농담을 하며 여유를 잃지 않았다.",1
2_00005,강호동 분노케한 이수근 드립 ,"신서유기4' 이수근(42) 씨가 강호동(47) 씨 국밥 상황극에 찬물을 끼얹었다. 

지난 1일 방송된 tvN 예능 '신서유기 4'에서는 슈퍼주니어 규현, 위너 송민호 씨, 젝스키스 은지원 씨, 이수근 씨, 안재현 씨, 강호동 씨가 반찬을 걸고 퀴즈 대결에 나섰다.  

이날 '신서유기 4' 멤버들은 사진을 보고 정확한 명칭을 맞히는 퀴즈에 참가했다. 강호동 씨는 '타자기'를 '자판기'로 잘못 말했고, 멤버들은 반찬 없이 맨밥 한 공기를 먹는 벌칙을 수행하게 됐다.

강호동 씨는 가장 마지막에 남은 양을 먹겠다고 자처했고, 강호동 씨를 제외한 멤버들은 일부러 적은 양만 먹었다. 밥이 그대로 남은 것을 본 강호동 씨는 황당한 표정을 감추지 못했다.

헬스 트레이너 출신 윤전추(38) 전 청와대 행정관이 박근혜(65) 전 대통령을 위해 자비로 영치금 50만 원을 냈다고 알려졌다.3일 동아일보는 ""20년 최측근인 이재만(51) 전 대통령 총무 비서관과 안봉근(51) 전 대통령 국정홍보 비서관이 박근혜 전 대통령에게 발길을 끊었다""고 단독 보도했다.

강호동 씨는 ""5초 준다""며 다른 멤버들에게 밥공기를 들이밀었다. 다른 멤버들은 밥공기를 외면했고, 이수근 씨는 고개를 돌려 침을 뱉는 제스처를 취해 강호동 씨를 분노하게 했다. 

강호동 씨는 ""오늘 꼴 보기 싫다. 유독 오늘. 헤어스타일 일부러 그렇게 한 거냐""라며 이수근 씨에게 짜증을 냈다. 이수근 씨는 영화 '범죄와의 전쟁' 하정우 헤어스타일이라고 밝혔고, ""명분이 없다 아입니까""라며 하정우 성대모사에 나섰다. 

강호동 씨는 제작진에게 물을 부탁했고, 밥에 물을 말아먹었다. 강호동 씨는 갑자기 국밥을 먹는 상황극을 시작했고, 다른 멤버들은 ""정말 맛있게 먹는다""며 감탄했다.

이수근 씨는 ""깍두기 드세요""라며 강호동 씨 상황극에 동참했다. 강호동 씨는 젓가락으로 깍두기를 집는 시늉을 하다 깍두기 국물을 붓는 척을 했다. 이수근 씨는 그 모습을 보고 ""그건 재떨이에요, 재떨이. 재떨이를 부으면 어떡해요""라고 받아쳤다.",1
2_00006,태풍 이름 굳이 '노루'라고 지은 이유,"태풍은 강한 비바람을 동반하는 무시무시한 존재다. 

그런데 요즘 북상하는 태풍 이름은 '노루(NORU)'다. 노루는 초롱초롱한 눈망울을 가진 대표적인 '순한' 동물이다. 이를 두고 SNS에서는 태풍 이름에 노루가 별로 어울리지 않는다는 우스갯소리도 나오고 있다.

'노루'는 우리나라가 제출한 태풍 이름 가운데 하나다. 1일 아시아경제는 우리나라가 노루 등의 태풍 이름을 제출하게 된 이유를 보도했다. 

보도에 따르면 한국, 북한, 중국, 일본 등 태풍 영향을 받는 14개국은 2000년 태풍위원회 총회에서 10개씩 태풍 이름을 제출했다. 

이들 국가에서 제출한 140개 이름은 5개 조로 나눠 국가명 영문 알파벳 순서에 따라 태풍 이름으로 사용된다. 우리나라는 노루를 비롯해 개미, 나리, 장미, 수달, 제비, 너구리, 고니, 메기, 나비를 제출했다.

이런 이름을 제출한 이유에 대해 아시아경제는 ""우리나라는 부드럽고 아름다운 동식물 명칭을 많이 썼는데 태풍 피해가 크지 않기를 바라는 마음을 담았다고 한다""고 밝혔다.

KEB하나은행이 통합시스템 구축을 위해 오는 6월 금융거래를 일시 중단한다. KEB 하나은행은 지난 14일 홈페이지에 공지글을 올려 이 사실을 알렸다. 금융거래 중단 일시는 6월 4일 토요일 0시부터 6월 7일 화요일 오전 6시까지다.

북한은 기러기, 도라지, 갈매기, 매미, 메아리, 버들, 민들레, 소나무, 봉선화, 날개를 태풍 이름으로 냈다. 

1일 현재 제5호 태풍 '노루'는 일본 남쪽 해상에서 제주도 서귀포 방향으로 북상하고 있다. 태풍 노루는 이날 오전 3시 기준 중심기압 935 헥토파스칼(hPa), 최대풍속 초속 49m 강풍을 동반한 상태다.

기상청이 밝힌 예상 이동 경로대로라면 태풍 노루는 이번 주말쯤 제주도에 영향을 줄 전망이다. 하지만 태풍 이동 경로가 유동적일 수 있어 기상청은 촉각을 곤두세우고 있다.  ",1
2_00007,"""남친 있던 아내에게 대시했다?"" 박주민 의원 해명","박주민 의원이 아내와의 러브스토리를 공개했다.

지난 20일 위키트리 정치토크쇼 '이언경의 작은 방 큰 토크'에는 박주민 더불어민주당 국회의원이 출연했다.

이날 방송에서 박주민 의원은 아내 강영구 변호사에 대한 애정을 드러냈다. 

박주민 의원은 법무법인 한결에 일할 당시 사법연수원생이던 강영구 변호사를 만났다. 강영구 변호사는 현재 전교조에서 상근 변호사로 7년째 일하고 있다. 

이언경 위키트리 방송위원은 박 의원에게 ""남자친구 있는 여성에게 대시했느냐""며 박주민 의원과 강영구 변호사의 첫 만남에 대해 질문했다. 

박주민 의원은 ""저도 마음 아프게 생각하고 죄송하게 생각한다""며 ""제가 좋아해서 쫓아다니다가 나중에 알게 돼서 마음을 접었다""고 털어놨다.

이어 ""근데 저희 선배 변호사 하나가 장난을 쳤다. (당시 아내가) 헤어지려고 한다고 했다. 그래서 제가 한참 공백이 있다가 대시를 했다. 나중에 알고 봤더니 (당시 남자친구와) 잘 지내고 있었다고 하더라""고 설명했다.

박주민 의원은 지난달 출간한 에세이 '별종의 기원'에서도 ""내 인생에서 가장 성공한 인간관계라면 강영구 변호사를 만나 결혼한 것""이라는 대목을 써 눈길을 끌었다.

아내의 어떤 면이 좋으냐는 질문에 박주민 의원은 ""굉장히 올곧다. 전교조에 상근하고 있는 변호사""라고 소개했다.

이어 ""전교조에만 7년을 있었다. 힘들고 어려운 여건인데 계속하고 있다. 올곧음에서 파생된 거일 수도 있는데 사리사욕이 없다. 그런 모습에서 많이 배운다""며 애정을 드러냈다. 

박주민 의원은 각별한 아내 사랑 때문에 당황했던 경험에 대해서도 털어놨다. 

박 의원은 ""지역구에 다닐 때도 볼에 뽀뽀하고 다니는데 어느 날 트위터에 '박주민 의원 어디서 볼에 뽀뽀하고 다닌다'는 글이 올라왔다. 그래서 그다음부터는 주의하고 있다""고 말했다.

18일 강릉 아이스아레나에서 열린 '2016/17 KB ISU 쇼트트랙 월드컵 4차 대회' 여자 계주 3000m 종목에서 금메달을 차지한 한국 쇼트트랙 여자 국가대표팀이 시상식 전 관중들에 인사하고 있다

박주민 의원은 지난 4월 '이언경의 작은 방 큰 토크'에 출연했다. 당시 박 의원은 방송 최초로 문재인 후보를 지지하는 이유를 공개해 화제가 되기도 했다.

이날 방송에서도 ""문재인 대통령이 잘해서 (여당 정치인으로서) 할 게 없지 않냐""는 질문에 박 의원은 ""(문 대통령이) 굉장히 잘하고 있고 준비된 대통령이라는 부분을 보여주고 있다""며 ""여당 국회의원이 편한 부분이 있다""고 털어놨다.

이어 ""수비수로 전환된 이후에 수비를 별로 할 게 없다. 저희 팀 공격수(문재인 대통령)가 계속 공을 갖고 상대 진영에 있다""며 ""그래서 저희가 수비 진영에서 조금 편하게 노닥노닥하고 있는 입장""이라고 너스레를 떨었다.

하지만 박주민 의원은 ""그렇다고 하더라도 저희 국회의원이 할 일이 많다. 저희 같은 경우에 입법 과정을 맡아야 하고 추경도 우회에서 처리해야 한다""고 말했다.

여당 정치인으로서 문재인 대통령에게 쓴소리도 마다하지 않을 것이냐는 질문에는 ""필요하면 해야죠. 오히려 (쓴소리를) 하는게 문재인 정부의 성공을 가져올 수 있다고 본다""고 답했다.

그 방법이나 시점에 대해서는 ""저희가 이야기하더라도 공개적으로 하기보다는 여러 통로로 부드럽게 할 수 있다. 그런 식으로 진행할 것""이라며 ""2~3년 후쯤이면 행복하고 그 전보다 빠를수도 있다. 안 그러길 빈다""고 답했다.

문재인 정부에서의 세월호 진상 규명 절차에 대해서는 ""열심히 하고 있다. 보도가 많이 안 나와서 궁금해 하신다""며 ""내부적으로 가족들과 협의하면서 진상 규명과 관련한 준비를 하고 있다. 제가 자신있게 말씀드릴 수 있다""고 단언했다.

이어 ""진상 규명 과제를 어떻게 볼 것인지 상을 만들고 있다. 2기 특조위는 작년 11월에 법안이 발의돼 신속 처리 안건으로 처리되고 있기 때문에 올해 11월 안에 무조건 처리가 된다. 그 사이(7월 말에서 11월까지) 를 어떻게 조사할 건지에 대한 이야기를 나누고 있다""고 답했다.",1
2_00008,"""기자라는 분이 후전드가 뭐에요, 정말"" 이승우 친형 SNS 글","이적설이 불거진 FC 바르셀로나 이승우(19·후베닐A) 선수 친형 이승준 씨가 동생을 '후전드'라 칭한 기사에 대해 불만을 나타냈다. '후전드'는 이 선수가 뛰고 있는 유소년팀 '후베닐A'와 '레전드(Legend)'를 합성한 단어다. 일부 축구팬들이 최근 이 선수의 성인팀(바르셀로나B) 승격 좌절을 비꼬면서 만들었다. 

승준 씨는 지난 22일 페이스북에 ""얼마나 듣고 기가 막히면 이런 글을 쓰겠느냐. 그리고 정말, 어른이 돼서 기자라는 분이 후전드가 뭐냐""고 썼다. 사진에는 안마의자에 누운 이 선수 모습과 ""나도 모르는 것들을 아는 기자 형님들 대단하다. (기사) 조회 수나 늘려줘야겠다""는 글이 적혀있었다. 

앞서 한 매체는 이날 이 선수의 성인팀 승격 실패를 언급하며 '후전드'라는 표현을 써 논란이 됐다. 비록 기사에서 직접 이 선수를 비판하진 않았지만, '후전드'라는 단어를 언급한 자체가 이 선수를 조롱거리로 만들었다는 것이다.  

승준 씨는 이에 대해 ""(기사를) 보면서 너무 웃겼다. 그런 단어도 오늘 처음 알고, 그렇게 글을 쓸 수 있다는 것도 오늘 알았다""며 ""손가락으로 몇 개 글 쓰고 '인성 논란'하는 그분들, 즐거우시냐""고 했다. 

최순실 씨 태블릿PC 명의자가 현재 청와대 뉴미디어실에서 근무하고 있는 행정관이라는 보도가 나왔다. 26일 JTBC는 '비선 실세' 의혹을 받고 있는 최순실 씨 PC 명의가 현 청와대 김한수 행정관 명의로 돼 있다고 보도했다.

승준 씨는 ""아버지 생신 선물 사러 가자고 먼저 이야기하고, 항상 가족 먼저 생각하는 게 동생""이라며 ""그냥 지켜봐달라. 부탁드리겠다. 이제 만 19살""이라고 당부했다. 

2019년까까지 바르셀로나와 계약돼 있는 이 선수는 최근 성인팀 승격에 실패하며 이적설이 제기됐다. 독일 분데스리가 명문 보루시아 도르트문트와 샬케04 등이 그를 눈독을 들이고 있다는 외신 보도가 나왔다. 이 선수 에이전트를 맡고 있는 페레 과르디올라는 ""도르트문트와 이승우 거취에 대해 논의 중""이라고 독일 타블로이드지 빌트(Bild)에 말했다. 

이 선수 친형은 승준 씨는 동생과 같이 스페인 리그에서 축구 선수로 활동하다가 지난해 은퇴했다. 그 뒤 이 선수의 바르셀로나 생활을 도왔다. 현재는 에이전트를 준비하고 있다. ",1
2_00009,"벤치프레스 중 허리통증, 허리디스크일까","무거운 벤치프레스 중 허리통증! 허리디스크일까? 척추후관절증후군을 의심하라!

폭염주의보까지 내릴 정도로 본격적인 여름이 되며 야외활동이 많이 제한되었습니다. 이로 인하여 평소 야외활동을 즐기시던 분들까지도 피트니스 센터 등 헬스장으로 피서(?)를 가게 되는 경우가 많아졌습니다. 피트니스센터에 가면 가장 먼저 눈에 들어오는, 헬스장의 상징이라 해도 과언이 아닌 운동이 바로 벤치프레스입니다.

벤치프레스는 헬스를 하는 남자들끼리 자신이 얼마나 힘이 강한지 상대에게 과시하기 위한 경쟁의 수단으로도 쓰입니다. 말은 하지 않더라도 서로를 의식하며 누가 더 무거운 바벨을 들어올릴 수 있는지, 누가 더 가볍게 바벨을 들어올리는지 상대를 흘낏흘낏 훝어보며 운동을 하는 사람들도 많지요.

그런데 잠깐 기다리십시오. 벤치프레스를 하기 전 자신에게 너무 무거운 무게를 들어올리려 하는 것은 아닌지요? 헬스 초심자들은 특히나 경쟁적으로 벤치프레스를 시도하다 어깨부상·허리부상과 같은 스포츠부상을 입기 쉽습니다. 대개 벤치프레스를 하면서 일어나는 부상은 어깨나 가슴 통증 등의 상체 부상이지만, 일부 사람들은 허리골반 통증을 호소하게 되기도 합니다. 하지만 벤치프레스는 상체근육을 집중적으로 단련하는 운동이기 때문에 이로 인해 허리통증과 골반통증이 생겼다고 하면 고개를 갸웃거리게 되는 경우가 많지요.

최근 개그콘서트에는 김대희(43), 신봉선(36), 김지민(32) 씨 등 선배 개그맨 여럿이 출연할 뜻을 밝혔다.뉴스엔은 이날 '개그콘서트' 관계자가 ""(장동민 씨는) 당분간 '봉숭아학당' 코너를 통해 활동할 계획""이며 ""추후 개인 코너도 선보일 것""이라고 말했다고 전했다.

하지만 벤치프레스 후 생긴 허리통증과 골반통증, 실은 골반의 문제가 아닐 수도 있습니다.

벤치프레스는 기본적으로 상체운동이나, 바벨을 들어올리는 상체를 지지해주는 하체 역시 중요한 역할을 맡고 있기 때문입니다. 특히 자신의 상체근력만으로 들어올릴 수 없는 무거운 바벨을 들어올릴 때는 하체의 중요성이 더 올라가는데, 이때 자연스럽게 활처럼 허리가 뒤로 구부러지게 될 수 있습니다.

이렇게 몸을 아치형으로 뒤로 굽혀 바벨의 무게를 분산시켜 쉽게 들어올릴 수 있게 도와주는 자세를 헬스 용어로는 렉 드라이브(Leg Drive)라고 합니다. 하지만 전신을 아치형으로 굽혀서 무거운 바벨을 들어올리는 것은 초심자에게는 자칫 잘못하면 척추후관절 부상을 유발할 수 있는 고난이도 자세입니다. 골반통증으로 착각하기 쉬운 미묘한 위치의 통증, 척추후관절 증후군이 유발될 수 있는 것입니다. 

추후관절은 그 이름 그대로 척추 뒤쪽에 위치한 관절입니다. 디스크가 척추에 가해지는 압력을 완충시켜주는 역할을 한다면, 척추후관절은 척추의 위아래뼈를 서로 이어주는 역할을 하고 있지요. 이 척추후관절에 무리한 힘이 가해지면 통증이 생길 수 있습니다. 허리디스크와 마찬가지로 허리통증이 유발되기 때문에, 척추디스크로 착각하게 되기도 쉬운 질환입니다. 

허리디스크는 척추뼈 사이 완충제인 디스크가 압력때문에 밀려나와 신경을 누르기 때문에 통증이 생기는 질환입니다. 하지만 척추후관절증후군은 척추뒤쪽 뼈를 이어주는 후관절 부위에 이상이 생겨 나타납니다. 통증이 심해지는 자세 역시 차이가 납니다. 허리디스크는 앞으로 허리를 구부릴 때 통증이 나타나는 경우가 많지만, 척추후관절 증후군은 뒤로 허리를 젖힐 때 더 아파지지요.

척추후관절증후군이 심할 경우에는 딱딱거리는 후관절소리가 나기도 합니다. 또한 척추후관절부위 통증은, 증상이 유발된 본인이 정확히 어디가 아픈 것인지 자각하기 힘들고 엉덩이와 골반부분까지 당기는 듯한 느낌을 주어 골반통증으로 오해하기 쉽습니다. 따라서 허리통증의 원인이 골반에 없다면 척추후관절에 있는 것은 아닌지 의심해볼 필요가 있습니다.

자신에게 알맞는 강도의 운동을 해주는 것이 척추후관절증후군을 비롯한 척추질환들을 예방하는 지름길이다.

척추후관절증후군이 있는 사람들의 통증을 완화하는데 도움이 되는 것은 온찜질입니다. 온찜질은 환부 주변 긴장을 풀어주고 혈액순환을 촉진해 통증 증상을 개선하는데 도움이 되지요. 또한 허리 스트레칭을 통해서 허리 주변 근육을 풀어주고 강화시켜주는 것 역시 척추후관절증후군 통증 완화에 도움이 됩니다. 무리한 벤치프레스 등 운동·스포츠로 인해 유발된 척추후관절증후군의 경우에는 변형된 척추 구조를 바로잡는 공간척추교정을 통해 개선할 수 있습니다.",1
2_00010,"""다시 먹고싶어!!"" 네티즌 요청... 12년만에 돌아온 토마토마","SNS에서 꾸준히 회자됐던 '토마토마'가 재출시됐다. 

해태제과는 토마토맛 슬러시 아이스크림 '토마토마'를 22일 출시한다고 밝혔다. 토마토마는 지난 2005년에 출시돼 20일 만에 30억 원을 돌파하며 히트를 쳤다. 토마토마 3개월 누적 매출은 약 170억 원이었다.

이 자리에서 '프로듀스101' 안준영 PD는 여자, 남자 연습생이 어떻게 달랐는지 밝혔다.이날 안준영 PD는 ""시즌 1 여자 참가자들은 한마디로 '독했다'""라며 ""실력도 대부분 '중상' 이상이었다""라고 말했다. 안준영 PD는 ""시즌 2 남자 참가자들은 더디고 서로 격차가 크다""라며 ""대표와 트레이너들이 고생이 많다""라고 밝혔다.

그러나 생산 우선순위가 뒤로 밀리면서 해태제과는 토마토마 생산량을 점차 줄였고 1년 만에 생산을 중단했다. 

이후 온라인 커뮤니티에는 ""해태제과는 토마토마 왜 단종시킨 거냐"", ""다시 먹고싶다""등의 글이 올라왔었다. 네티즌 요청을 계기로 해태제과는 12년 만에 토마토마를 다시 출시하기로 했다. 토마토가 웰빙 트렌드에 잘 맞는 아이스크림이라는 점도 고려됐다. 

토마토마 맛은 12년 전과 똑같다. 세븐일레븐에서 구매할 수 있으며 가격은 개당 1200원이다. ",1
